cleaned_text,category,source
this act may be called the code of criminal procedure it extends to the whole of india provided that the provisions of this code other than those relating to chapters viii x and xi thereof shall not apply a to the state of nagaland b to the tribal areas but the concerned state government may by notification apply such provisions or any of them to the whole or part of the state of nagaland or such tribal areas as the case may be with such supplemental incidental or consequential modifications as may be specified in the notification explanation in this section tribal areas means the territories which immediately before the st day of january were included in the tribal areas of assam as referred to in paragraph of the sixth schedule to the constitution other than those within the local limits of the municipality of shillong it shall come into force on the st day of april,General Procedure,CrPC
this act may be called the code of criminal procedure it extends to the whole of india provided that the provisions of this code other than those relating to chapters viii x and xi thereof shall not apply a to the state of nagaland b to the tribal areas but the concerned state government may by notification apply such provisions or any of them to the whole or part of the state of nagaland or such tribal areas as the case may be with such supplemental incidental or consequential modifications as may be specified in the notification explanation in this section tribal areas means the territories which immediately before the st day of january were included in the tribal areas of assam as referred to in paragraph of the sixth schedule to the constitution other than those within the local limits of the municipality of shillong it shall come into force on the st day of april state amendment haryana in the code of criminal procedure haryana amendment act in section after figures the words as extended to the union territory of chandigarh shall be inserted vide notification no gsre dated th december manipur in the code of criminal procedure manipur amendment act manipur act no of hereinafter referred to as the principal act for the subsection of section the following shall be substituted namely it shall come into force on its publication in the official gazette in such area of the state of manipur and shall remain in force during such period as the notification issued under section of the armed forces special powers act declaring that area to be a disturbed area shall be in operation but its expiry under the operation of this subsection shall not affect a the previous operation of or anything duly done or suffered under this act or b any right privilege obligation or liability acquired accured or incurred under this act or c any penalty forfeiture or punishment incurred in respect of any offence under this act or d any investigation legal proceeding or remedy in respect of any such right privilege obligation liability penalty forfeiture or punishment as aforesaid and any such investigation legal proceeding or remedy may be instituted continued or enforced any such penalty forfeiture or punishment may be imposed as if this act had not expired vide manipur act of s,General Procedure,CrPC
in this code unless the context otherwise requires a bailable offence means an offence which is shown as bailable in the first schedule or which is made bailable by any other law for the time being in force and nonbailable offence means any other offence b charge includes any head of charge when the charge contains more heads than one c cognizable offence means an offence for which and cognizable case means a case in which a police officer may in accordance with the first schedule or under any other law for the time being in force arrest without warrant d complaint means any allegation made orally or in writing to a magistrate with a view to his taking action under this code that some person whether known or unknown has committed an offence but does not include a police report explanationa report made by a police officer in a case which discloses after investigation the commission of a noncognizable offence shall be deemed to be a complaint and the police officer by whom such report is made shall be deemed to be the complainant e high court means i in relation to any state the high court for that state ii in relation to a union territory to which the jurisdiction of the high court for a state has been extended by law that high court iii in relation to any other union territory the highest court of criminal appeal for that territory other than the supreme court of india f india means the territories to which this code extends g inquiry means every inquiry other than a trial conducted under this code by a magistrate or court h investigation includes all the proceedings under this code for the collection of evidence conducted by a police officer or by any person other than a magistrate who is authorised by a magistrate in this behalf i judicial proceeding includes any proceeding in the course of which evidence is or may be legally taken on oath j local jurisdiction in relation to a court or magistrate means the local area within which the court or magistrate may exercise all or any of its or his powers under this code and such local area may comprise the whole of the state or any part of the state as the state government may by notification specify k metropolitan area means the area declared or deemed to be declared under section to be a metropolitan area l noncognizable offence means an offence for which and noncognizable case means a case in which a police officer has no authority to arrest without warrant m notification means a notification published in the official gazette n offence means any act or omission made punishable by any law for the time being in force and includes any act in respect of which a complaint may be made under section of the cattletrespass act of o officer in charge of a police station includes when the officer in charge of the police station is absent from the stationhouse or unable from illness or other cause to perform his duties the police officer present at the stationhouse who is next in rank to such officer and is above the rank of constable or when the state government so directs any other police officer so present p place includes a house building tent vehicle and vessel q pleader when used with reference to any proceeding in any court means a person authorised by or under any law for the time being in force to practise in such court and includes any other person appointed with the permission of the court to act in such proceeding r police report means a report forwarded by a police officer to a magistrate under subsection of section s police station means any post or place declared generally or specially by the state government to be a police station and includes any local area specified by the state government in this behalf t prescribed means prescribed by rules made under this code u public prosecutor means any person appointed under section and includes any person acting under the directions of a public prosecutor v subdivision means a subdivision of a district w summonscase means a case relating to an offence and not being a warrantcase wa victim means a person who has suffered any loss or injury caused by reason of the act or omission for which the accused person has been charged and the expression victim includes his or her guardian or legal heir x warrantcase means a case relating to an offence punishable with death imprisonment for life or imprisonment for a term exceeding two years y words and expressions used herein and not defined but defined in the indian penal code of have the meanings respectively assigned to them in that code state amendment haryana in section for the words state of haryana the words union territory of chandigarh shall be substituted vide notification no gsre dated th december manipur in section of the principal act the clauses a and b shall be rearranged as follows namely a to such class or category of the members of the forces charged with the maintained of public order or b to such class or category of other public servants not being persons to whom the provisions of subsection apply charged with the maintenance of public order as may be specified in the notification wherever they may be serving and thereupon the provisions of that subsection shall apply as if for the expression central government occurring therein the expression central government occurring therein the expression state government were substituted vide manipur act of s,General Procedure,CrPC
all offences under the indian penal code of shall be investigated inquired into tried and otherwise dealt with according to the provisions hereinafter contained all offences under any other law shall be investigated inquired into tried and otherwise dealt with according to the same provisions but subject to any enactment for the time being in force regulating the manner of place of investigating inquiring into trying or otherwise dealing with such offences state amendment manipur in section of the principal act the clauses a and b shall be rearranged as follows namely a to such class or category of the members of the forces charged with the maintenance of public order or b to such class or category of other public servants of the forces persons to whom the provisions of subsection or subsection apply charged with the maintenance or public order as may be specified in the notification wherever they may be serving and thereupon the provisions of subsection shall apply as if for the expression central government occurring therein the expression state government were substituted vide manipur act of s,General Procedure,CrPC
nothing contained in this code shall in the absence of a specific provision to the contrary affect any special or local law for the time being in force or any special jurisdiction or power conferred or any special form of procedure prescribed by any other law for the time being in force state amendment manipur in section of the principal act i in between the figures and commas and the figures and comma shall be inserted ii in between the words or and session the words the court of shall be inserted vide manipur of s,General Procedure,CrPC
besides the high courts and the courts constituted under any law other than this code there shall be in every state the following classes of criminal courts namely i courts of session ii judicial magistrates of the first class and in any metropolitan area metropolitan magistrates iii judicial magistrates of the second class and iv executive magistrates,Court Procedure,CrPC
every state shall be a sessions division or shall consist of sessions divisions and every sessions divisions shall for the purposes of this code be a district or consist of districts provided that every metropolitan area shall for the said purposes be a separate sessions division and district the state government may after consultation with the high court alter the limits or the number of such divisions and districts the state government may after consultation with the high court divide any district into subdivisions and may alter the limits or the number of such subdivisions the sessions divisions districts and subdivisions existing in a state at the commencement of this code shall be deemed to have been formed under this section,Court Procedure,CrPC
the state government may by notification declare that as from such date as may be specified in the notification any area in the state comprising a city or town whose population exceeds one million shall be a metropolitan area for the purposes of this code as from the commencement of this code each of the presidencytowns of bombay calcutta and madras and the city of ahmedabad shall be deemed to be declared under subsection to be a metropolitan area the state government may by notification extend reduce or alter the limits of a metropolitan area but the reduction or alteration shall not be so made as to reduce the population of such area to less than one million where after an area has been declared or deemed to have been declared to be a metropolitan area the population of such area falls below one million such area shall on and from such date as the state government may by notification specify in this behalf cease to be a metropolitan area but notwithstanding such cesser any inquiry trial or appeal pending immediately before such cesser before any court or magistrate in such area shall continue to be dealt with under this code as if such cesser had not taken place where the state government reduces or alters under subsection the limits of any metropolitan area such reduction or alteration shall not affect any inquiry trial or appeal pending immediately before such reduction or alteration before any court or magistrate and every such inquiry trial or appeal shall continue to be dealt with under this code as if such reduction or alteration had not taken place explanationin this section the expression population means the population as ascertained at the last preceding census of which the relevant figures have been published state amendment delhi in its application to the national capital territory of delhi in section a in subsection for the words a city or town substitute a city or town or part thereof b for subsection substitute the following subsection namely the state government may by notification divide a metropolitan area into two or more such areas or extend or reduce or alter the limits of a metropolitan area provided that a the division of metropolitan area shall not be so made as to result in the population of any of the areas into which it has been divided being less than one million and b the reduction or alteration of metropolitan area shall not be so made as to reduce the population of such area to less than one million c after subsection insert the following subsection namely a where any metropolitan area is divided under subsection the high court may issue such directions as it deems fit with respect to the disposal of the proceedings pendings immediately before such division before any magistrate or court having jurisdiction in respect of such area vide delhi act of s,Court Procedure,CrPC
the state government shall establish a court of session for every sessions division every court of session shall be presided over by a judge to be appointed by the high court the high court may also appoint additional sessions judges and assistant session judges to exercise jurisdiction in a court of session the sessions judge of one sessions division may be appointed by the high court to be also an additional sessions judge of another division and in such case he may sit for the disposal of cases at such place or places in the other division as the high court may direct where the office of the sessions judge is vacant the high court may make arrangements for the disposal of any urgent application which is or may be made or pending before such court of session by an additional or assistant sessions judge or if there be no additional or assistant sessions judge by a chief judicial magistrate in the sessions division and every such judge or magistrate shall have jurisdiction to deal with any such application the court of session shall ordinarily hold its sitting at such place or places as the high court may by notification specify but if in any particular case the court of session is of opinion that it will tend to the general convenience of the parties and witnesses to hold its sittings at any other place in the sessions division it may with the consent of the prosecution and the accused sit at that place for the disposal of the case or the examination of any witness or witnesses therein explanationfor the purposes of this code appointment does not include the first appointment posting or promotion of a person by the government to any service or post in connection with the affairs of the union or of a state where under any law such appointment posting or promotion is required to be made by government state amendment west bengal to subsection of section of the principal act the following provisos shall be added provided that notwithstanding anything to the contrary contained in this code an additional sessions judge in a subdivision other than the subdivision by whatever name called wherein the headquarters of the sessions judges are situated exercising jurisdiction in a court of session shall have all the powers of the sessions judge under this code in respect of the cases and proceedings in the criminal courts in that subdivision for the purposes of subsection of session sections and clause a of section and sections and provided further that the above powers shall not be in derogation of the powers otherwise exercisable by an additional sessions judge or a sessions judge under this code vide west bengal act of s orissa amendment of section in section of the code of criminal procedure of hereinafter referred to as the principal act to subsection the following provisions shall be added namely provided that notwithstanding anything to the contrary contained in this code an additional sessions judge in a district or subdivision other than the district or subdivision by whatever name called wherein the headquarters of the sessions judge are situated exercising jurisdiction in a court of sessions shall have all the powers of the sessions judge under this code in respect of the cases and the proceedings in the criminal courts in that district or subdivision for the purposes of subsection of section sections and clause a of section and sections and provided further that the above powers shall be not be in derogation of the powers otherwise exercisable by an additional sessions judge or a sessions judge under this code vide orissa act of s uttar pradesh amendment of section of act of in section of the code of criminal procedure hereinafter referred to as the said code in subsection the following proviso shall be inserted namely provided that the court of session may hold or the high court may direct the court of session to hold its sitting in any particular case at any place in the session division where it appears expedient to do so for consideration of internal security or public order and in such cases the consent of the prosecution and the accused shall not be necessary vide uttar pradesh act of s uttarpradesh in section of the code of criminal procedure hereinafter referred to the said code after subsection the following subsection shall be inserted namely a in the event of the death resignation removal or transfer of the sessions judge or of his being incapacitated by illness or otherwise for the performance of his duties or of his absence from the place at which his court is held the seniormost among the additional sessions judges and the assistant sessions judges present at the place and in their absence the chief judicial magistrate shall without relinquishing his ordinary duties assume charge of the office of the sessions judge and continue in charge thereof until the officer is resumed by the sessions judge or assumed by an officer appointed thereto and shall subject to the provision of this code and any rules made by the high court in this behalf exercise any of the powers of the sessions judge vide uttar pradesh act of s,Court Procedure,CrPC
all assistant sessions judges shall be subordinate to the sessions judge in whose court they exercise jurisdiction the sessions judge may from time to time make rules consistent with this code as to the distribution of business among such assistant sessions judges the sessions judge may also make provision for the disposal of any urgent application in the event of his absence or inability to act by an additional or assistant sessions judge or if there be no additional or assistant sessions judge by the chief judicial magistrate and every such judge or magistrate shall be deemed to have jurisdiction to deal with any such application,Court Procedure,CrPC
